state,practice_name,city,website,estimated_provider_count,qualification_status,primary_contact_path,linkedin_search_url,outreach_status,next_action,notes
TX,Deep Eddy Psychotherapy,Austin,https://deepeddypsychotherapy.com,10-20,needs_verification,https://deepeddypsychotherapy.com/contact,https://www.linkedin.com/search/results/people/?keywords=Deep%20Eddy%20Psychotherapy,not_contacted,send_touch_1,Group practice fit likely strong
TX,Just Mind Counseling,Austin,https://justmind.org,8-18,needs_verification,https://justmind.org/contact,https://www.linkedin.com/search/results/people/?keywords=Just%20Mind%20Counseling,not_contacted,send_touch_1,Private pay + anxiety/depression focus
TX,Waterloo Counseling Center,Austin,https://waterloocounseling.org,8-20,needs_verification,https://waterloocounseling.org/contact,https://www.linkedin.com/search/results/people/?keywords=Waterloo%20Counseling%20Center,not_contacted,send_touch_1,Behavioral health demand + intake workflow complexity
TX,Eddins Counseling Group,Houston,https://eddinscounseling.com,10-25,needs_verification,https://eddinscounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Eddins%20Counseling%20Group,not_contacted,send_touch_1,Multi-clinician counseling group
TX,Counseling Center of Houston,Houston,https://counselingcenterofhouston.com,8-15,needs_verification,https://counselingcenterofhouston.com/contact,https://www.linkedin.com/search/results/people/?keywords=Counseling%20Center%20of%20Houston,not_contacted,send_touch_1,Family/adult counseling mix
TX,Houston DBT Center,Houston,https://houstondbtcenter.com,5-12,needs_verification,https://houstondbtcenter.com/contact,https://www.linkedin.com/search/results/people/?keywords=Houston%20DBT%20Center,not_contacted,send_touch_1,Specialty practice likely admin burden
TX,Dallas CBT,Dallas,https://dallascbt.com,6-15,needs_verification,https://dallascbt.com/contact,https://www.linkedin.com/search/results/people/?keywords=Dallas%20CBT,not_contacted,send_touch_1,Evidence-based therapy positioning
TX,Dallas Counseling and Treatment Center,Dallas,https://dallascounselingandtreatment.com,8-20,needs_verification,https://dallascounselingandtreatment.com/contact,https://www.linkedin.com/search/results/people/?keywords=Dallas%20Counseling%20and%20Treatment%20Center,not_contacted,send_touch_1,Potential design partner profile
CA,Center for Discovery and Wellness,San Diego,https://centerfordiscoveryandwellness.com,6-15,needs_verification,https://centerfordiscoveryandwellness.com/contact,https://www.linkedin.com/search/results/people/?keywords=Center%20for%20Discovery%20and%20Wellness%20San%20Diego,not_contacted,send_touch_1,Behavioral health orientation
CA,Westlake Village Counseling,Westlake Village,https://westlakevillagecounseling.com,8-20,needs_verification,https://westlakevillagecounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Westlake%20Village%20Counseling,not_contacted,send_touch_1,Multi-provider therapy group
